City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Kapaa,US,80.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Maroantsetra,MG,76.66,overcast clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
9,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
11,Rikitea,PF,78.55,light rain,-23.1203,-134.9692,People ThankYou
17,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
21,Atuona,PF,78.66,light rain,-9.8,-139.0333,Villa Enata
24,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
28,Caravelas,BR,77.09,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
31,Puerto Ayora,EC,77.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Yambio,SS,75.18,overcast clouds,4.5721,28.3955,Naivasha Hotel
51,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
52,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
56,Bowen,AU,82.62,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
65,Sao Geraldo Do Araguaia,BR,75.31,broken clouds,-6.4006,-48.555,Hotel Por do Sol
68,Katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
70,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
72,Isangel,VU,77.11,moderate rain,-19.55,169.2667,Tanna Lodge
73,Carnarvon,AU,80.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
74,Hilo,US,80.62,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
95,Araguaina,BR,77.54,moderate rain,-7.1911,-48.2072,Hotel São Vicente
98,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
99,Mancora,PE,77.83,few clouds,-4.1078,-81.0475,Máncora Marina Hotel
100,Butaritari,KI,82.65,few clouds,3.0707,172.7902,Isles Sunset Lodge
101,Santa Marta,CO,87.35,few clouds,11.2408,-74.199,Casa de Isabella
106,Tomatlan,MX,85.6,clear sky,19.9333,-105.25,El Salvial
108,Tabou,CI,79.86,clear sky,4.423,-7.3528,hotêl doufoulougou
110,Cockburn Town,TC,75.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
119,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
125,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
128,Hithadhoo,MV,81.52,broken clouds,-0.6,73.0833,Scoop Guest House
129,Kailua,US,82.08,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
131,Bambanglipuro,ID,76.26,overcast clouds,-7.95,110.2833,Puri Brata
137,Samarai,PG,83.97,overcast clouds,-10.6167,150.6667,Nuli Sapi
139,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
140,Kwinana,AU,85.17,clear sky,-32.25,115.7667,Rockingham Apartments
143,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
148,Balabac,PH,79.86,moderate rain,7.9868,117.0645,Batalla’s Lodging House
153,Kavaratti,IN,77.92,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
157,Biak,ID,77.09,overcast clouds,-0.9131,122.8766,Penginapan Kim
159,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
164,Tagusao,PH,77.58,scattered clouds,9.1924,117.8141,Green Villa beach resort
167,Sorong,ID,82.31,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
183,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
193,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
195,Trinidad,BO,85.98,broken clouds,-14.8333,-64.9,Hotel Piesta
197,Lelydorp,SR,78.73,scattered clouds,5.7,-55.2333,SCSV BagunMuda veld
200,Karratha,AU,85.17,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
209,Ugoofaaru,MV,81.09,clear sky,5.6667,73.0,Ungoofaaru Inn
211,Pundaguitan,PH,80.01,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
226,Kavieng,PG,83.19,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
236,Alta Floresta,BR,75.02,thunderstorm,-9.8756,-56.0861,Floresta Amazonica Hotel
240,Saint-Joseph,RE,79.16,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
247,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
250,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
264,Faanui,PF,80.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
268,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
270,Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
276,Mana,GF,75.96,overcast clouds,5.6592,-53.7767,LE SAMANA
279,Accra,GH,82.81,few clouds,5.556,-0.1969,Accra City Hotel
281,Santiago Del Estero,AR,76.26,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
293,Tigre,AR,77.22,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
297,Sola,VU,81.88,overcast clouds,-13.8833,167.55,Leumerus Bungalows
300,Aden,YE,76.53,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
308,Saint-Philippe,RE,80.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
309,Harper,LR,79.92,scattered clouds,4.375,-7.7169,Screensaver
312,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
313,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
315,Garissa,KE,78.28,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
324,Bangui,CF,77.18,overcast clouds,4.3612,18.555,SAM HOTEL
337,Delta,NG,78.06,clear sky,5.5,6.0,Prestige Hotel
343,Bongaree,AU,79.21,overcast clouds,-27.0797,153.1586,The Gums Anchorage
344,Finschhafen,PG,86.02,broken clouds,-6.6024,147.8681,Cossam Guest House
351,Mildura,AU,79.07,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
353,Sao Joao Da Barra,BR,76.57,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
354,Camocim,BR,78.04,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
356,Anloga,GH,82.62,clear sky,5.7947,0.8973,Pin Drop Hotel
365,Kudat,MY,77.29,few clouds,6.8837,116.8477,Dream Garden Hotel
366,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
367,San Policarpo,PH,78.55,overcast clouds,12.1791,125.5072,Agapita M. Nicart
371,Buala,SB,82.8,light rain,-8.145,159.5921,Maringe Lagoon Lodge
373,Paka,MY,80.53,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
376,Kirakira,SB,83.73,overcast clouds,-10.4544,161.9205,SanBiz Lodge
380,Morant Bay,JM,82.02,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
382,Nioro,GM,76.91,clear sky,13.35,-15.75,
385,Kismayo,SO,77.02,overcast clouds,-0.3582,42.5454,Agan-Hotel
386,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
388,Ambon,ID,80.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
389,Saint-Louis,SN,76.32,clear sky,16.3333,-15.0,
391,Manaure,CO,80.71,few clouds,11.7751,-72.4445,Hotel Palaaima
392,Ayolas,PY,80.51,light rain,-27.4,-56.9,Hotel Ayolas
396,Le Port,RE,80.56,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
397,Malindi,KE,76.28,overcast clouds,-3.2175,40.1191,African House Resort
399,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
400,Gizo,SB,84.49,moderate rain,-8.103,156.8419,Imagination Island
403,Port Keats,AU,80.58,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
405,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
416,Dabakala,CI,77.04,clear sky,8.3667,-4.4333,Hôtel Campement
417,Tra Vinh,VN,75.81,scattered clouds,9.9347,106.3453,Hồng Ân
418,Tanete,ID,80.24,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
423,Rio Grande,BR,75.94,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
425,Iralaya,HN,80.69,clear sky,15.0,-83.2333,Iglesia morava renovada
435,Guarapari,BR,78.69,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
437,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
439,Alenquer,BR,75.54,overcast clouds,-1.9417,-54.7383,Detinha Hotel
440,Namatanai,PG,84.76,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
443,Ca Mau,VN,78.15,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
451,Kilindoni,TZ,75.87,moderate rain,-7.9139,39.6668,Bustani B&B
455,Nelson Bay,AU,75.29,light rain,-32.7167,152.15,Mantra Nelson Bay
463,Caucaia,BR,82.04,light rain,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
464,Port Augusta,AU,81.72,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
465,Victor Harbor,AU,80.8,overcast clouds,-35.5667,138.6167,McCracken Country Club
467,Mayumba,GA,76.19,broken clouds,-3.432,10.6554,LIKWALE LODGE
469,Anito,PH,76.95,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
470,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
472,Sampit,ID,75.51,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
477,Riohacha,CO,80.71,few clouds,11.5444,-72.9072,Hotel Taroa
491,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
500,Kupang,ID,81.16,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
501,Kantang,TH,78.89,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
511,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
513,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
518,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
525,Mahajanga,MG,80.62,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
526,Ibotirama,BR,79.7,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
537,Vao,NC,80.47,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
549,Celestun,MX,75.09,clear sky,20.8667,-90.4,Posada Lilia
552,Cabatuan,PH,75.22,overcast clouds,10.8794,122.486,MVC Transient Room
554,Kings Point,US,76.01,clear sky,26.4454,-80.1398,Kasa Delray Beach
557,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
560,Yaan,NG,80.19,clear sky,7.3833,8.5667,
564,Imbituba,BR,78.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
569,Monrovia,LR,78.57,scattered clouds,6.3005,-10.7969,Sunset Inn
570,Fayaoue,NC,82.78,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
589,Mogadishu,SO,76.01,broken clouds,2.0371,45.3438,Hotel Juba
591,Torit,SS,78.69,overcast clouds,4.4133,32.5678,Diplomat Guest House
592,Kudahuvadhoo,MV,81.18,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
593,Atambua,ID,77.85,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
597,Moron,AR,76.96,overcast clouds,-34.6534,-58.6198,Hotel Morón
601,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
605,Careiro Da Varzea,BR,75.83,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
610,Sainte-Marie,RE,80.73,overcast clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
619,Lufilufi,WS,89.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
624,Port-Gentil,GA,79.81,broken clouds,-0.7193,8.7815,Fengshui Residence
626,Kokopo,PG,83.95,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
627,Vanimo,PG,83.84,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
630,Waingapu,ID,82.0,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
641,Negombo,LK,75.25,few clouds,7.2083,79.8358,Hotel Sunset Beach
645,Hobyo,SO,75.42,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
656,Klang,MY,75.34,few clouds,3.0333,101.45,OYO 90249 Euro Hotel (klang)
659,Simbahan,PH,80.28,overcast clouds,6.3032,120.5836,
662,Mitsamiouli,KM,81.39,light rain,-11.3847,43.2844,Foyer ADM
665,Escarcega,MX,76.5,scattered clouds,18.6089,-90.7454,Hotel Maria Isabel
670,El Rosario,MX,77.2,clear sky,24.2556,-107.1828,Mi casa
678,Thinadhoo,MV,81.46,overcast clouds,0.5333,72.9333,
679,Madimba,TZ,76.59,moderate rain,-10.4,40.3333,
687,Luwuk,ID,82.63,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
693,Bentiu,SS,75.54,broken clouds,9.2333,29.8333,Mandela hôtel
698,Bucerias,MX,75.97,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
700,Porto Belo,BR,78.78,moderate rain,-27.1578,-48.5531,Costa Verde Beach Hotel
704,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
